coordinates,sentiment
"[[[-105.190246, 39.957602], [-105.190246, 40.0237], [-105.070651, 40.0237], [-105.070651, 39.957602]]]",negative
"[[[-83.669548, 36.006624], [-83.669548, 36.031116], [-83.607929, 36.031116], [-83.607929, 36.006624]]]",negative
"[[[-91.51308, 36.970298], [-91.51308, 42.508303], [-87.019935, 42.508303], [-87.019935, 36.970298]]]",neutral
"[[[-77.601044, 37.447046], [-77.601044, 37.61272], [-77.385297, 37.61272], [-77.385297, 37.447046]]]",positive
"[[[-80.20811, 26.080935], [-80.20811, 26.219801], [-80.090235, 26.219801], [-80.090235, 26.080935]]]",positive
"[[[-80.519851, 39.719801], [-80.519851, 42.516072], [-74.689517, 42.516072], [-74.689517, 39.719801]]]",positive
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",positive
"[[[-84.321948, 33.752879], [-84.321948, 36.588118], [-75.40012, 36.588118], [-75.40012, 33.752879]]]",neutral
"[[[-82.199571, 34.149844], [-82.199571, 34.235784], [-82.108743, 34.235784], [-82.108743, 34.149844]]]",positive
"[[[-71.191421, 42.227797], [-71.191421, 42.399542], [-70.986004, 42.399542], [-70.986004, 42.227797]]]",negative
"[[[-115.161846, 36.167733], [-115.161846, 36.167733], [-115.161846, 36.167733], [-115.161846, 36.167733]]]",positive
"[[[-77.119401, 38.801826], [-77.119401, 38.99538], [-76.909396, 38.99538], [-76.909396, 38.801826]]]",negative
"[[[-117.071232, 33.685766], [-117.071232, 33.772991], [-116.908609, 33.772991], [-116.908609, 33.685766]]]",positive
"[[[-106.791691, 35.015891], [-106.791691, 35.218114], [-106.473745, 35.218114], [-106.473745, 35.015891]]]",negative
"[[[-0.142058, 51.518552], [-0.142058, 51.575301], [-0.076305, 51.575301], [-0.076305, 51.518552]]]",negative
"[[[-73.508143, 41.187054], [-73.508143, 42.886824], [-69.858861, 42.886824], [-69.858861, 41.187054]]]",negative
"[[[-81.442077, 40.853129], [-81.442077, 40.917247], [-81.323313, 40.917247], [-81.323313, 40.853129]]]",positive
"[[[-4.393285, 55.796184], [-4.393285, 55.920421], [-4.090218, 55.920421], [-4.090218, 55.796184]]]",negative
"[[[-83.831237, 42.899436], [-83.831237, 43.089481], [-83.619983, 43.089481], [-83.619983, 42.899436]]]",negative
"[[[-74.421855, 45.430616], [-74.421855, 45.532585], [-74.211235, 45.532585], [-74.211235, 45.430616]]]",negative
"[[[-119.321696, 34.23444], [-119.321696, 34.344939], [-119.136287, 34.344939], [-119.136287, 34.23444]]]",negative
"[[[-83.67529, 36.540739], [-83.67529, 39.466012], [-75.16644, 39.466012], [-75.16644, 36.540739]]]",neutral
"[[[-77.172219, 38.827378], [-77.172219, 38.934311], [-77.031779, 38.934311], [-77.031779, 38.827378]]]",positive
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",neutral
"[[[32.269296, 34.562636], [32.269296, 35.708706], [34.606354, 35.708706], [34.606354, 34.562636]]]",positive
"[[[-80.389019, 35.934126], [-80.389019, 36.240211], [-80.100949, 36.240211], [-80.100949, 35.934126]]]",neutral
"[[[-73.962582, 40.541722], [-73.962582, 40.800037], [-73.699793, 40.800037], [-73.699793, 40.541722]]]",negative
"[[[-85.605166, 30.355644], [-85.605166, 35.000771], [-80.742567, 35.000771], [-80.742567, 30.355644]]]",positive
"[[[-119.953849, 39.350749], [-119.953849, 39.674123], [-119.700515, 39.674123], [-119.700515, 39.350749]]]",neutral
"[[[-106.791691, 35.015891], [-106.791691, 35.218114], [-106.473745, 35.218114], [-106.473745, 35.015891]]]",negative
"[[[-83.669548, 36.006624], [-83.669548, 36.031116], [-83.607929, 36.031116], [-83.607929, 36.006624]]]",negative
"[[[-124.482003, 32.528832], [-124.482003, 42.009519], [-114.131212, 42.009519], [-114.131212, 32.528832]]]",negative
"[[[-86.92488, 40.339754], [-86.92488, 40.474718], [-86.768625, 40.474718], [-86.768625, 40.339754]]]",neutral
"[[[-118.082615, 33.628991], [-118.082615, 33.756093], [-117.91485, 33.756093], [-117.91485, 33.628991]]]",negative
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",neutral
"[[[-87.634643, 24.396308], [-87.634643, 31.001056], [-79.974307, 31.001056], [-79.974307, 24.396308]]]",positive
"[[[-90.587823, 35.992721], [-90.587823, 36.100355], [-90.440123, 36.100355], [-90.440123, 35.992721]]]",neutral
"[[[-179.231086, 13.182335], [-179.231086, 71.434357], [179.859685, 71.434357], [179.859685, 13.182335]]]",negative
"[[[-77.119401, 38.801826], [-77.119401, 38.99538], [-76.909396, 38.99538], [-76.909396, 38.801826]]]",positive
"[[[-111.850714, 40.674194], [-111.850714, 40.700021], [-111.795299, 40.700021], [-111.795299, 40.674194]]]",neutral
"[[[-74.044085, 40.7336], [-74.044085, 40.759159], [-74.020431, 40.759159], [-74.020431, 40.7336]]]",neutral
"[[[-80.173447, 26.476484], [-80.173447, 26.590488], [-80.05236, 26.590488], [-80.05236, 26.476484]]]",neutral
"[[[-124.482003, 32.528832], [-124.482003, 42.009519], [-114.131212, 42.009519], [-114.131212, 32.528832]]]",neutral
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",neutral
"[[[-79.487651, 37.886607], [-79.487651, 39.723622], [-74.986286, 39.723622], [-74.986286, 37.886607]]]",neutral
"[[[-80.297884, 26.228692], [-80.297884, 26.31183], [-80.201661, 26.31183], [-80.201661, 26.228692]]]",positive
"[[[-90.137908, 29.889574], [-90.137908, 30.075628], [-89.884108, 30.075628], [-89.884108, 29.889574]]]",negative
"[[[-77.31732, 39.12466], [-77.31732, 39.215563], [-77.21136, 39.215563], [-77.21136, 39.12466]]]",neutral
"[[[-79.922434, 32.766578], [-79.922434, 32.929315], [-79.75221, 32.929315], [-79.75221, 32.766578]]]",positive
"[[[-124.482003, 32.528832], [-124.482003, 42.009519], [-114.131212, 42.009519], [-114.131212, 32.528832]]]",negative
"[[[-107.374027, 39.494044], [-107.374027, 39.569159], [-107.301755, 39.569159], [-107.301755, 39.494044]]]",positive
"[[[-88.019025, 42.24901], [-88.019025, 42.32843], [-87.896698, 42.32843], [-87.896698, 42.24901]]]",positive
"[[[-80.20811, 26.080935], [-80.20811, 26.219801], [-80.090235, 26.219801], [-80.090235, 26.080935]]]",positive
"[[[-71.608659, 42.366424], [-71.608659, 42.411814], [-71.483814, 42.411814], [-71.483814, 42.366424]]]",neutral
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",neutral
"[[[-80.173447, 26.476484], [-80.173447, 26.590488], [-80.05236, 26.590488], [-80.05236, 26.476484]]]",positive
"[[[-77.252801, 39.102707], [-77.252801, 39.169487], [-77.163064, 39.169487], [-77.163064, 39.102707]]]",neutral
"[[[-77.119401, 38.801826], [-77.119401, 38.99538], [-76.909396, 38.99538], [-76.909396, 38.801826]]]",positive
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",neutral
"[[[-75.788756, 38.45104], [-75.788756, 39.839007], [-74.984165, 39.839007], [-74.984165, 38.45104]]]",negative
"[[[-70.020003, 43.868253], [-70.020003, 43.949801], [-69.856736, 43.949801], [-69.856736, 43.868253]]]",positive
"[[[-83.18921, 40.067746], [-83.18921, 40.182801], [-83.089352, 40.182801], [-83.089352, 40.067746]]]",negative
"[[[-84.763511, 38.99546], [-84.763511, 39.04083], [-84.686274, 39.04083], [-84.686274, 38.99546]]]",negative
"[[[-85.605166, 30.355644], [-85.605166, 35.000771], [-80.742567, 35.000771], [-80.742567, 30.355644]]]",negative
"[[[-114.818269, 31.332246], [-114.818269, 37.004261], [-109.045153, 37.004261], [-109.045153, 31.332246]]]",positive
"[[[-124.482003, 32.528832], [-124.482003, 42.009519], [-114.131212, 42.009519], [-114.131212, 32.528832]]]",negative
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",positive
"[[[-75.280284, 39.871811], [-75.280284, 40.13792], [-74.955712, 40.13792], [-74.955712, 39.871811]]]",negative
"[[[-115.158143, 35.917793], [-115.158143, 36.094719], [-114.918531, 36.094719], [-114.918531, 35.917793]]]",positive
"[[[-108.662336, 39.033602], [-108.662336, 39.149899], [-108.486897, 39.149899], [-108.486897, 39.033602]]]",neutral
"[[[7.620801, 47.559768], [7.620801, 47.600847], [7.693697, 47.600847], [7.693697, 47.559768]]]",positive
"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",neutral
"[[[-79.922434, 32.766578], [-79.922434, 32.929315], [-79.75221, 32.929315], [-79.75221, 32.766578]]]",positive
"[[[-87.325789, 30.547501], [-87.325789, 30.619707], [-87.260678, 30.619707], [-87.260678, 30.547501]]]",positive
"[[[-77.119401, 38.801826], [-77.119401, 38.99538], [-76.909396, 38.99538], [-76.909396, 38.801826]]]",negative
"[[[-85.605166, 30.355644], [-85.605166, 35.000771], [-80.742567, 35.000771], [-80.742567, 30.355644]]]",negative
"[[[-84.820309, 38.403186], [-84.820309, 42.327133], [-80.518626, 42.327133], [-80.518626, 38.403186]]]",neutral
"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",positive
"[[[-87.634643, 24.396308], [-87.634643, 31.001056], [-79.974307, 31.001056], [-79.974307, 24.396308]]]",negative
"[[[-71.191421, 42.227797], [-71.191421, 42.399542], [-70.986004, 42.399542], [-70.986004, 42.227797]]]",negative
"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",negative
"[[[-1.8691119999999999, 52.381169], [-1.8691119999999999, 52.513283], [-1.705879, 52.513283], [-1.705879, 52.381169]]]",neutral
